Center,Metric,Model,SimValueMean,SimValueMin,SimValueMax,SimIntvlWidth,TheoValue,WithinIntvl
CheckIn,Response time,M/M/8,137.9006498873718,135.78529469362374,140.01600508111986,2.115355193748058,139.31294699422259,within
CheckIn,Queue time,M/M/8,17.871253044123794,16.34815375795518,19.394352330292406,1.5230992861686112,19.312946994222578,within
CheckIn,Num in center,M/M/8,6.810802287185106,6.690028754628678,6.931575819741534,0.12077353255642793,6.861352159949873,within
CheckIn,Num in queue,M/M/8,0.8858200503164181,0.8074590851949326,0.9641810154379036,0.0783609651214855,0.9511889126809004,within
CheckIn,Num of busy servers,M/M/8,5.924982236868687,5.873614704861576,5.9763497688757985,0.05136753200711154,5.910163247268972,within
Varchi,Response time,M/M/4,16.044816894690637,15.910449398742958,16.179184390638316,0.13436749594767908,16.09075187952856,within
Varchi,Queue time,M/M/4,1.06686744018174,0.9991098090525856,1.1346250713108943,0.06775763112915428,1.0907518795285602,within
Varchi,Num in center,M/M/4,2.0496501887961083,2.025721936268527,2.0735784413236895,0.023928252527581087,2.0468241464008186,within
Varchi,Num in queue,M/M/4,0.13666336722024852,0.12766250164766021,0.14566423279283683,0.009000865572588298,0.13874909646649436,within
Varchi,Num of busy servers,M/M/4,1.9129868215758596,1.895301913442949,1.9306717297087703,0.01768490813291068,1.908075049934324,within
FastTrack,Response time,M/M/3,76.25981779180456,74.5868336513864,77.93280193222273,1.6729841404181611,77.28825775822213,within
FastTrack,Queue time,M/M/3,26.399173209255498,24.872527403835708,27.925819014675287,1.5266458054197896,27.288257758222134,within
FastTrack,Num in center,M/M/3,3.2032796812176545,3.124304844924468,3.282254517510841,0.0789748362931863,3.244379518189845,within
FastTrack,Num in queue,M/M/3,1.1111437025346098,1.0438156268859604,1.1784717781832592,0.06732807564864929,1.1454969632620888,within
FastTrack,Num of busy servers,M/M/3,2.0921359786830442,2.0756035138960307,2.1086684434700578,0.016532464787013715,2.0988825549277568,within
XRay,Response time,M/M/6,108.44523819781735,101.72331793885061,115.16715845678408,6.721920258966726,102.58671091599852,within
XRay,Queue time,M/M/6,47.99849949798435,41.46664464202757,54.53035435394113,6.53185485595678,42.58671091599852,within
XRay,Num in center,M/M/6,9.303322848805013,8.675513949733876,9.931131747876151,0.6278088990711366,8.743193745396006,within
XRay,Num in queue,M/M/6,4.141444710605697,3.547379836569126,4.735509584642268,0.5940648740365712,3.6295526115720183,within
XRay,Num of busy servers,M/M/6,5.1618781381993175,5.113841782100832,5.209914494297803,0.04803635609848571,5.113641133823988,not within
TraceDetection,Response time,M/M/2,70.55687741433702,69.8824464113559,71.23130841731815,0.6744310029811209,70.22718624589993,within
TraceDetection,Queue time,M/M/2,10.448111280748218,9.998062561024286,10.898160000472151,0.4500487197239332,10.227186245899933,within
TraceDetection,Num in center,M/M/2,0.9014884758306388,0.8896478513142738,0.9133291003470039,0.011840624516364997,0.8933249460192839,within
TraceDetection,Num in queue,M/M/2,0.1337691834338712,0.12761378883306765,0.13992457803467476,0.006155394600803552,0.1300949260455543,within
TraceDetection,Num of busy servers,M/M/2,0.7677192923967676,0.7607712548416611,0.7746673299518742,0.006948037555106534,0.7632300199737296,within
Recupero,Response time,M/M/inf,120.06061669403151,119.44507363691051,120.67615975115251,0.6155430571210052,120.0,within
Recupero,Num in center,M/M/inf,15.332098788672413,15.199110088786417,15.465087488558408,0.1329886998859962,15.264447753470598,within
