Time,Center,Metric,Value
100.0,TraceDetection,TimeTotal,0.0
100.0,TraceDetection,NumTotal,0.0
100.0,TraceDetection,SystemResponseTime_Success,0.0
100.0,TraceDetection,BusyServers,0.0
100.0,TraceDetection,TimeQueue,0.0
100.0,TraceDetection,TimeService,0.0
100.0,TraceDetection,NumQueue,0.0
100.0,XRay,TimeTotal,36.892185325819895
100.0,XRay,NumTotal,3.0
100.0,XRay,SystemResponseTime_Success,0.0
100.0,XRay,BusyServers,3.0
100.0,XRay,TimeQueue,0.0
100.0,XRay,TimeService,36.892185325819895
100.0,XRay,NumQueue,0.0
100.0,CheckIn,TimeTotal,78.21948585034457
100.0,CheckIn,NumTotal,8.0
100.0,CheckIn,SystemResponseTime_Success,0.0
100.0,CheckIn,BusyServers,8.0
100.0,CheckIn,TimeQueue,0.9689213173563141
100.0,CheckIn,TimeService,78.21948585034457
100.0,CheckIn,NumQueue,0.0
100.0,Varchi,TimeTotal,20.94063005370638
100.0,Varchi,NumTotal,1.0
100.0,Varchi,SystemResponseTime_Success,0.0
100.0,Varchi,BusyServers,1.0
100.0,Varchi,TimeQueue,0.0
100.0,Varchi,TimeService,20.94063005370638
100.0,Varchi,NumQueue,0.0
100.0,Recupero,TimeTotal,0.0
100.0,Recupero,NumTotal,2.0
100.0,Recupero,SystemResponseTime_Success,0.0
100.0,Recupero,BusyServers,2.0
100.0,Recupero,TimeQueue,0.0
100.0,Recupero,TimeService,0.0
100.0,Recupero,NumQueue,0.0
200.0,XRay,TimeTotal,47.3201014800989
200.0,XRay,NumTotal,9.0
200.0,XRay,SystemResponseTime_Success,0.0
200.0,XRay,BusyServers,6.0
200.0,XRay,TimeQueue,0.2530990245952438
200.0,XRay,TimeService,47.3201014800989
200.0,XRay,NumQueue,3.0
200.0,TraceDetection,TimeTotal,82.2258864425493
200.0,TraceDetection,NumTotal,0.0
200.0,TraceDetection,SystemResponseTime_Success,0.0
200.0,TraceDetection,BusyServers,0.0
200.0,TraceDetection,TimeQueue,0.0
200.0,TraceDetection,TimeService,82.2258864425493
200.0,TraceDetection,NumQueue,0.0
200.0,Recupero,TimeTotal,0.0
200.0,Recupero,NumTotal,8.0
200.0,Recupero,SystemResponseTime_Success,0.0
200.0,Recupero,BusyServers,8.0
200.0,Recupero,TimeQueue,0.0
200.0,Recupero,TimeService,0.0
200.0,Recupero,NumQueue,0.0
200.0,Varchi,TimeTotal,19.54948703858128
200.0,Varchi,NumTotal,7.0
200.0,Varchi,SystemResponseTime_Success,0.0
200.0,Varchi,BusyServers,4.0
200.0,Varchi,TimeQueue,0.8576153896276428
200.0,Varchi,TimeService,19.105177884578744
200.0,Varchi,NumQueue,3.0
200.0,CheckIn,TimeTotal,119.75196386723165
200.0,CheckIn,NumTotal,8.0
200.0,CheckIn,SystemResponseTime_Success,0.0
200.0,CheckIn,BusyServers,8.0
200.0,CheckIn,TimeQueue,7.816508316603272
200.0,CheckIn,TimeService,118.50620788777353
200.0,CheckIn,NumQueue,0.0
300.0,Recupero,TimeTotal,130.93844811480926
300.0,Recupero,NumTotal,15.0
300.0,Recupero,SystemResponseTime_Success,191.29698073600608
300.0,Recupero,BusyServers,15.0
300.0,Recupero,TimeQueue,0.0
300.0,Recupero,TimeService,130.93844811480926
300.0,Recupero,NumQueue,0.0
300.0,CheckIn,TimeTotal,124.94134714535664
300.0,CheckIn,NumTotal,9.0
300.0,CheckIn,SystemResponseTime_Success,191.29698073600608
300.0,CheckIn,BusyServers,8.0
300.0,CheckIn,TimeQueue,5.403411354745141
300.0,CheckIn,TimeService,116.56651680613886
300.0,CheckIn,NumQueue,1.0
300.0,Varchi,TimeTotal,22.693559221316384
300.0,Varchi,NumTotal,3.0
300.0,Varchi,SystemResponseTime_Success,191.29698073600608
300.0,Varchi,BusyServers,3.0
300.0,Varchi,TimeQueue,3.402269711374471
300.0,Varchi,TimeService,19.148204373935023
300.0,Varchi,NumQueue,0.0
300.0,XRay,TimeTotal,57.45114079532756
300.0,XRay,NumTotal,15.0
300.0,XRay,SystemResponseTime_Success,191.29698073600608
300.0,XRay,BusyServers,6.0
300.0,XRay,TimeQueue,15.27224468573389
300.0,XRay,TimeService,49.222268844033266
300.0,XRay,NumQueue,9.0
300.0,TraceDetection,TimeTotal,82.2258864425493
300.0,TraceDetection,NumTotal,1.0
300.0,TraceDetection,SystemResponseTime_Success,191.29698073600608
300.0,TraceDetection,BusyServers,1.0
300.0,TraceDetection,TimeQueue,0.0
300.0,TraceDetection,TimeService,82.2258864425493
300.0,TraceDetection,NumQueue,0.0
400.0,CheckIn,TimeTotal,117.51874374379938
400.0,CheckIn,NumTotal,8.0
400.0,CheckIn,SystemResponseTime_Success,239.77701924187443
400.0,CheckIn,BusyServers,8.0
400.0,CheckIn,TimeQueue,7.898798620858827
400.0,CheckIn,TimeService,111.85802708644732
400.0,CheckIn,NumQueue,0.0
400.0,Varchi,TimeTotal,22.323465884051895
400.0,Varchi,NumTotal,5.0
400.0,Varchi,SystemResponseTime_Success,239.77701924187443
400.0,Varchi,BusyServers,4.0
400.0,Varchi,TimeQueue,2.551702283530853
400.0,Varchi,TimeService,19.559121743560137
400.0,Varchi,NumQueue,1.0
400.0,XRay,TimeTotal,73.08133977403125
400.0,XRay,NumTotal,16.0
400.0,XRay,SystemResponseTime_Success,239.77701924187443
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,31.55893692618608
400.0,XRay,TimeService,50.43802648949792
400.0,XRay,NumQueue,10.0
400.0,TraceDetection,TimeTotal,66.1602953293553
400.0,TraceDetection,NumTotal,1.0
400.0,TraceDetection,SystemResponseTime_Success,239.77701924187443
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,2.719881286658648
400.0,TraceDetection,TimeService,66.1602953293553
400.0,TraceDetection,NumQueue,0.0
