Metric,NumBatch,Value
Nq_FastTrack,1,0.6479869808026241
Nq_FastTrack,2,0.6693424941994452
Nq_FastTrack,3,0.6657988692667959
Nq_FastTrack,4,0.6340506346360721
Nq_FastTrack,5,0.6413736208262413
Nq_FastTrack,6,0.6857974817704324
Nq_FastTrack,7,0.7624485823795651
Nq_FastTrack,8,0.6390574360354357
Nq_FastTrack,9,0.47138239711434654
Nq_FastTrack,10,0.8458106196132354
Nq_FastTrack,11,0.4345500400534955
Nq_FastTrack,12,0.5621054229865272
Nq_FastTrack,13,0.6926528225104025
Nq_FastTrack,14,0.47643280740515437
Nq_FastTrack,15,0.48387871670603394
Nq_FastTrack,16,0.6189495520696799
Nq_FastTrack,17,0.6305983490862515
Nq_FastTrack,18,0.5042557471050141
Nq_FastTrack,19,0.5788881223307304
Nq_FastTrack,20,0.709663212381241
Nq_FastTrack,21,0.6313017493743386
Nq_FastTrack,22,0.612815205766116
Nq_FastTrack,23,0.5617810737665782
Nq_FastTrack,24,0.5659109126952978
Nq_FastTrack,25,0.5056818071887544
Nq_FastTrack,26,0.7661354795568025
Nq_FastTrack,27,0.5936229089003172
Nq_FastTrack,28,0.6704482274343402
Nq_FastTrack,29,0.8064101677998742
Nq_FastTrack,30,0.6689673073418446
Nq_FastTrack,31,0.5782234510445924
Nq_FastTrack,32,0.9804353655986804
Nq_FastTrack,33,0.502303629294241
Nq_FastTrack,34,0.8059071500306846
Nq_FastTrack,35,0.5842950405595934
Nq_FastTrack,36,0.7287843353957788
Nq_FastTrack,37,0.7391871504433821
Nq_FastTrack,38,0.7002548833966173
Nq_FastTrack,39,0.5216474895733516
Nq_FastTrack,40,0.577553875110095
Nq_FastTrack,41,0.7728388235010214
Nq_FastTrack,42,0.6168350198190624
Nq_FastTrack,43,0.6447314057641316
Nq_FastTrack,44,0.6099920111290785
Nq_FastTrack,45,0.7485273771830854
Nq_FastTrack,46,0.6755274674443862
Nq_FastTrack,47,0.4939916382136211
Nq_FastTrack,48,0.6908631453695572
Nq_FastTrack,49,0.6729798401313332
Nq_FastTrack,50,0.5820017762235581
Nq_FastTrack,51,0.6716851828248834
Nq_FastTrack,52,0.7453598789751015
Nq_FastTrack,53,0.8275884558897363
Nq_FastTrack,54,0.6765141797635823
Nq_FastTrack,55,0.7534813207387508
Nq_FastTrack,56,0.4847608261689074
Nq_FastTrack,57,0.5219165168575103
Nq_FastTrack,58,0.668732397442756
Nq_FastTrack,59,0.7434769186342656
Nq_FastTrack,60,0.6193165352597614
Nq_FastTrack,61,0.615449782771286
Nq_FastTrack,62,0.4944948214438541
Nq_FastTrack,63,0.7384883653095325
Nq_FastTrack,64,0.6840820553060042
Nq_FastTrack,65,0.4466354309833909
Nq_FastTrack,66,0.6147717915964984
Nq_FastTrack,67,0.4802553821456616
Nq_FastTrack,68,0.612878260459058
Nq_FastTrack,69,0.5681107051130354
Nq_FastTrack,70,0.4854744709239084
Nq_FastTrack,71,0.5882031321310448
Nq_FastTrack,72,0.5204146404293236
Nq_FastTrack,73,0.6538841793449169
Nq_FastTrack,74,0.5268746723812803
