Time,Center,Metric,Value
400.0,XRay,TimeTotal,52.25842653756788
400.0,XRay,NumTotal,6.0
400.0,XRay,SystemResponseTime_Success,180.82809638824236
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,1.367026626224915
400.0,XRay,TimeService,51.968133506366165
400.0,XRay,NumQueue,0.0
400.0,FastTrack,TimeTotal,42.75280554387676
400.0,FastTrack,NumTotal,4.0
400.0,FastTrack,SystemResponseTime_Success,180.82809638824236
400.0,FastTrack,BusyServers,3.0
400.0,FastTrack,TimeQueue,0.0
400.0,FastTrack,TimeService,42.75280554387676
400.0,FastTrack,NumQueue,1.0
400.0,CheckIn,TimeTotal,111.04412698071923
400.0,CheckIn,NumTotal,5.0
400.0,CheckIn,SystemResponseTime_Success,180.82809638824236
400.0,CheckIn,BusyServers,5.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,111.04412698071923
400.0,CheckIn,NumQueue,0.0
400.0,Varchi,TimeTotal,22.200690231149345
400.0,Varchi,NumTotal,0.0
400.0,Varchi,SystemResponseTime_Success,180.82809638824236
400.0,Varchi,BusyServers,0.0
400.0,Varchi,TimeQueue,1.2819848659646285
400.0,Varchi,TimeService,20.918705365184714
400.0,Varchi,NumQueue,0.0
400.0,TraceDetection,TimeTotal,77.87213676013629
400.0,TraceDetection,NumTotal,0.0
400.0,TraceDetection,SystemResponseTime_Success,180.82809638824236
400.0,TraceDetection,BusyServers,0.0
400.0,TraceDetection,TimeQueue,11.507903989166513
400.0,TraceDetection,TimeService,66.36423277096978
400.0,TraceDetection,NumQueue,0.0
400.0,Recupero,TimeTotal,107.32019697645927
400.0,Recupero,NumTotal,13.0
400.0,Recupero,SystemResponseTime_Success,180.82809638824236
400.0,Recupero,BusyServers,13.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,107.32019697645927
400.0,Recupero,NumQueue,0.0
800.0,CheckIn,TimeTotal,128.18275571086326
800.0,CheckIn,NumTotal,1.0
800.0,CheckIn,SystemResponseTime_Success,225.59958654073435
800.0,CheckIn,BusyServers,1.0
800.0,CheckIn,TimeQueue,0.0
800.0,CheckIn,TimeService,128.18275571086326
800.0,CheckIn,NumQueue,0.0
800.0,Varchi,TimeTotal,20.475569938394422
800.0,Varchi,NumTotal,2.0
800.0,Varchi,SystemResponseTime_Success,225.59958654073435
800.0,Varchi,BusyServers,2.0
800.0,Varchi,TimeQueue,0.7951101163032379
800.0,Varchi,TimeService,19.661528628845858
800.0,Varchi,NumQueue,0.0
800.0,XRay,TimeTotal,52.104208825024365
800.0,XRay,NumTotal,2.0
800.0,XRay,SystemResponseTime_Success,225.59958654073435
800.0,XRay,BusyServers,2.0
800.0,XRay,TimeQueue,0.6885742754077921
800.0,XRay,TimeService,51.38694395480792
800.0,XRay,NumQueue,0.0
800.0,FastTrack,TimeTotal,49.15093667091791
800.0,FastTrack,NumTotal,3.0
800.0,FastTrack,SystemResponseTime_Success,225.59958654073435
800.0,FastTrack,BusyServers,3.0
800.0,FastTrack,TimeQueue,4.324202056608582
800.0,FastTrack,TimeService,45.10056890491958
800.0,FastTrack,NumQueue,0.0
800.0,TraceDetection,TimeTotal,70.29347267260029
800.0,TraceDetection,NumTotal,1.0
800.0,TraceDetection,SystemResponseTime_Success,225.59958654073435
800.0,TraceDetection,BusyServers,1.0
800.0,TraceDetection,TimeQueue,3.4523711967499535
800.0,TraceDetection,TimeService,66.45750467621144
800.0,TraceDetection,NumQueue,0.0
800.0,Recupero,TimeTotal,117.53239837676105
800.0,Recupero,NumTotal,14.0
800.0,Recupero,SystemResponseTime_Success,225.59958654073435
800.0,Recupero,BusyServers,14.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,117.53239837676105
800.0,Recupero,NumQueue,0.0
1200.0,FastTrack,TimeTotal,48.04573858548038
1200.0,FastTrack,NumTotal,1.0
1200.0,FastTrack,SystemResponseTime_Success,232.55056517886402
1200.0,FastTrack,BusyServers,1.0
1200.0,FastTrack,TimeQueue,3.65899337315595
1200.0,FastTrack,TimeService,44.30720187812539
1200.0,FastTrack,NumQueue,0.0
1200.0,Recupero,TimeTotal,119.46909841475644
1200.0,Recupero,NumTotal,13.0
1200.0,Recupero,SystemResponseTime_Success,232.55056517886402
1200.0,Recupero,BusyServers,13.0
1200.0,Recupero,TimeQueue,0.0
1200.0,Recupero,TimeService,119.46909841475644
1200.0,Recupero,NumQueue,0.0
1200.0,TraceDetection,TimeTotal,68.41533743512963
1200.0,TraceDetection,NumTotal,0.0
1200.0,TraceDetection,SystemResponseTime_Success,232.55056517886402
1200.0,TraceDetection,BusyServers,0.0
1200.0,TraceDetection,TimeQueue,4.392273325011585
1200.0,TraceDetection,TimeService,64.02306411011804
1200.0,TraceDetection,NumQueue,0.0
1200.0,XRay,TimeTotal,55.2644410896664
1200.0,XRay,NumTotal,8.0
1200.0,XRay,SystemResponseTime_Success,232.55056517886402
1200.0,XRay,BusyServers,6.0
1200.0,XRay,TimeQueue,4.745677240247345
1200.0,XRay,TimeService,51.430225579870175
1200.0,XRay,NumQueue,2.0
1200.0,CheckIn,TimeTotal,129.97095169740572
1200.0,CheckIn,NumTotal,13.0
1200.0,CheckIn,SystemResponseTime_Success,232.55056517886402
1200.0,CheckIn,BusyServers,8.0
1200.0,CheckIn,TimeQueue,0.6765001074406004
1200.0,CheckIn,TimeService,129.97095169740572
1200.0,CheckIn,NumQueue,5.0
1200.0,Varchi,TimeTotal,20.45000641482463
1200.0,Varchi,NumTotal,1.0
1200.0,Varchi,SystemResponseTime_Success,232.55056517886402
1200.0,Varchi,BusyServers,1.0
1200.0,Varchi,TimeQueue,1.3395878765873974
1200.0,Varchi,TimeService,19.100640524539504
1200.0,Varchi,NumQueue,0.0
1600.0,Varchi,TimeTotal,21.190018271719946
1600.0,Varchi,NumTotal,2.0
1600.0,Varchi,SystemResponseTime_Success,240.52531269605458
1600.0,Varchi,BusyServers,2.0
1600.0,Varchi,TimeQueue,2.1825679474696673
1600.0,Varchi,TimeService,18.98447592480322
1600.0,Varchi,NumQueue,0.0
1600.0,CheckIn,TimeTotal,137.86720400569627
1600.0,CheckIn,NumTotal,3.0
1600.0,CheckIn,SystemResponseTime_Success,240.52531269605458
1600.0,CheckIn,BusyServers,3.0
1600.0,CheckIn,TimeQueue,12.779947068539217
1600.0,CheckIn,TimeService,124.94519243028263
1600.0,CheckIn,NumQueue,0.0
1600.0,XRay,TimeTotal,55.77582179705026
1600.0,XRay,NumTotal,3.0
1600.0,XRay,SystemResponseTime_Success,240.52531269605458
1600.0,XRay,BusyServers,3.0
1600.0,XRay,TimeQueue,5.121633849200113
1600.0,XRay,TimeService,50.75440988504445
1600.0,XRay,NumQueue,0.0
1600.0,FastTrack,TimeTotal,46.743258342680846
1600.0,FastTrack,NumTotal,4.0
1600.0,FastTrack,SystemResponseTime_Success,240.52531269605458
1600.0,FastTrack,BusyServers,3.0
1600.0,FastTrack,TimeQueue,3.5132696146015285
1600.0,FastTrack,TimeService,43.97340127432122
1600.0,FastTrack,NumQueue,1.0
1600.0,TraceDetection,TimeTotal,65.30569343382528
1600.0,TraceDetection,NumTotal,3.0
1600.0,TraceDetection,SystemResponseTime_Success,240.52531269605458
1600.0,TraceDetection,BusyServers,2.0
1600.0,TraceDetection,TimeQueue,2.85497766125753
1600.0,TraceDetection,TimeService,62.133496032428006
