Time,Center,Metric,Value
400.0,CheckIn,TimeTotal,106.91032461884335
400.0,CheckIn,NumTotal,4.0
400.0,CheckIn,SystemResponseTime_Success,223.12936651385363
400.0,CheckIn,BusyServers,4.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,106.91032461884335
400.0,CheckIn,NumQueue,0.0
400.0,XRay,TimeTotal,54.11448601783204
400.0,XRay,NumTotal,2.0
400.0,XRay,SystemResponseTime_Success,223.12936651385363
400.0,XRay,BusyServers,2.0
400.0,XRay,TimeQueue,0.0
400.0,XRay,TimeService,54.11448601783204
400.0,XRay,NumQueue,0.0
400.0,TraceDetection,TimeTotal,0.0
400.0,TraceDetection,NumTotal,1.0
400.0,TraceDetection,SystemResponseTime_Success,223.12936651385363
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,0.0
400.0,TraceDetection,TimeService,0.0
400.0,TraceDetection,NumQueue,0.0
400.0,Varchi,TimeTotal,14.687033335743354
400.0,Varchi,NumTotal,2.0
400.0,Varchi,SystemResponseTime_Success,223.12936651385363
400.0,Varchi,BusyServers,2.0
400.0,Varchi,TimeQueue,0.4088895998536422
400.0,Varchi,TimeService,14.239201869236984
400.0,Varchi,NumQueue,0.0
400.0,Recupero,TimeTotal,132.00419322754794
400.0,Recupero,NumTotal,9.0
400.0,Recupero,SystemResponseTime_Success,223.12936651385363
400.0,Recupero,BusyServers,9.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,132.00419322754794
400.0,Recupero,NumQueue,0.0
800.0,Varchi,TimeTotal,14.75716405264055
800.0,Varchi,NumTotal,0.0
800.0,Varchi,SystemResponseTime_Success,240.96854896275613
800.0,Varchi,BusyServers,0.0
800.0,Varchi,TimeQueue,0.6401746040464446
800.0,Varchi,TimeService,14.116989448594104
800.0,Varchi,NumQueue,0.0
800.0,TraceDetection,TimeTotal,57.534400041340376
800.0,TraceDetection,NumTotal,0.0
800.0,TraceDetection,SystemResponseTime_Success,240.96854896275613
800.0,TraceDetection,BusyServers,0.0
800.0,TraceDetection,TimeQueue,4.308336079645983
800.0,TraceDetection,TimeService,53.22606396169439
800.0,TraceDetection,NumQueue,0.0
800.0,Recupero,TimeTotal,125.36191656722838
800.0,Recupero,NumTotal,6.0
800.0,Recupero,SystemResponseTime_Success,240.96854896275613
800.0,Recupero,BusyServers,6.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,125.36191656722838
800.0,Recupero,NumQueue,0.0
800.0,XRay,TimeTotal,51.456246854156866
800.0,XRay,NumTotal,2.0
800.0,XRay,SystemResponseTime_Success,240.96854896275613
800.0,XRay,BusyServers,2.0
800.0,XRay,TimeQueue,0.0
800.0,XRay,TimeService,51.456246854156866
800.0,XRay,NumQueue,0.0
800.0,CheckIn,TimeTotal,103.15912652502679
800.0,CheckIn,NumTotal,2.0
800.0,CheckIn,SystemResponseTime_Success,240.96854896275613
800.0,CheckIn,BusyServers,2.0
800.0,CheckIn,TimeQueue,0.0
800.0,CheckIn,TimeService,103.15912652502679
800.0,CheckIn,NumQueue,0.0
1200.0,Recupero,TimeTotal,122.47951786882781
1200.0,Recupero,NumTotal,12.0
1200.0,Recupero,SystemResponseTime_Success,239.64428722941176
1200.0,Recupero,BusyServers,12.0
1200.0,Recupero,TimeQueue,0.0
1200.0,Recupero,TimeService,122.47951786882781
1200.0,Recupero,NumQueue,0.0
1200.0,CheckIn,TimeTotal,103.82116984914333
1200.0,CheckIn,NumTotal,0.0
1200.0,CheckIn,SystemResponseTime_Success,239.64428722941176
1200.0,CheckIn,BusyServers,0.0
1200.0,CheckIn,TimeQueue,0.0
1200.0,CheckIn,TimeService,103.82116984914333
1200.0,CheckIn,NumQueue,0.0
1200.0,Varchi,TimeTotal,14.823780570346097
1200.0,Varchi,NumTotal,0.0
1200.0,Varchi,SystemResponseTime_Success,239.64428722941176
1200.0,Varchi,BusyServers,0.0
1200.0,Varchi,TimeQueue,0.7309728037050679
1200.0,Varchi,TimeService,14.092807766641029
1200.0,Varchi,NumQueue,0.0
1200.0,XRay,TimeTotal,52.596782080632025
1200.0,XRay,NumTotal,1.0
1200.0,XRay,SystemResponseTime_Success,239.64428722941176
1200.0,XRay,BusyServers,1.0
1200.0,XRay,TimeQueue,0.7090059288932511
1200.0,XRay,TimeService,51.87792884717082
1200.0,XRay,NumQueue,0.0
1200.0,TraceDetection,TimeTotal,60.29358005264889
1200.0,TraceDetection,NumTotal,0.0
1200.0,TraceDetection,SystemResponseTime_Success,239.64428722941176
1200.0,TraceDetection,BusyServers,0.0
1200.0,TraceDetection,TimeQueue,6.625817568894649
1200.0,TraceDetection,TimeService,53.667762483754245
