Center,Metric,Model,SimValueMean,SimValueMin,SimValueMax,SimIntvlWidth,TheoValue,WithinIntvl
CheckIn,Response time,M/M/8,120.34389072323232,119.58555444198983,121.10222700447481,0.7583362812424957,120.28301643806738,within
CheckIn,Queue time,M/M/8,0.280380216293944,0.22072332446798953,0.34003710811989846,0.05965689182595445,0.2830164380673819,within
CheckIn,Num in center,M/M/8,2.970270935299796,2.944864840544897,2.995677030054695,0.025406094754899054,2.9620510959288144,within
CheckIn,Num in queue,M/M/8,0.006950828100992142,0.005473672495182589,0.008427983706801694,0.0014771556058095524,0.006969472294328399,within
CheckIn,Num of busy servers,M/M/8,2.963320107198804,2.938187294826143,2.988452919571465,0.025132812372660636,2.955081623634486,within
Varchi,Response time,M/M/4,15.067553557125377,14.975093824823526,15.160013289427228,0.09245973230185071,15.085884587432258,within
Varchi,Queue time,M/M/4,0.08277650128412044,0.07303300301124925,0.09251999955699163,0.009743498272871184,0.08588458743225788,within
Varchi,Num in center,M/M/4,0.9608030548311063,0.9522574219811568,0.9693486876810558,0.00854563284994943,0.959499999582275,within
Varchi,Num in queue,M/M/4,0.0052932123077709834,0.0046617587520365,0.005924665863505467,6.314535557344836E-4,0.005462474615113142,within
Varchi,Num of busy servers,M/M/4,0.9555098425233353,0.9471704419102858,0.9638492431363848,0.00833940061304955,0.954037524967162,within
XRay,Response time,M/M/6,67.55080207306668,66.70685479614997,68.39474934998339,0.8439472769167028,66.64522450890681,not within
XRay,Queue time,M/M/6,7.124745010987724,6.521413293500153,7.728076728475296,0.6033317174875713,6.645224508906806,within
XRay,Num in center,M/M/6,4.309185223084202,4.243287479379004,4.3750829667894005,0.06589774370519871,4.238803002757219,not within
XRay,Num in queue,M/M/6,0.4561410507359072,0.41655173813745106,0.4957303633343634,0.03958931259845618,0.4226529028885716,within
XRay,Num of busy servers,M/M/6,3.8530441723482958,3.8186972580147986,3.887391086681793,0.034346914333497056,3.816150099868648,not within
TraceDetection,Response time,M/M/1,97.74655147399642,96.43894882248695,99.05415412550589,1.3076026515094747,97.02693462647845,within
TraceDetection,Queue time,M/M/1,37.6506558692753,36.59173704592382,38.709574692626774,1.0589188233514768,37.02693462647845,within
TraceDetection,Num in center,M/M/1,0.6246619565758021,0.6145102094384274,0.6348137037131769,0.010151747137374748,0.6171155771079742,within
TraceDetection,Num in queue,M/M/1,0.24078466715592364,0.23339085103930604,0.24817848327254124,0.0073938161166175985,0.2355005671211094,within
TraceDetection,Num of busy servers,M/M/1,0.3838772894198785,0.3802629083368235,0.3874916705029334,0.003614381083054941,0.3816150099868648,within
Recupero,Response time,M/M/inf,120.05789880118834,119.34893472189962,120.76686288047706,0.7089640792887215,120.0,within
Recupero,Num in center,M/M/inf,7.655560675764479,7.587993253927863,7.723128097601096,0.06756742183661699,7.632223876735299,within
