Metric,Mean,Width,Min,Max,Autocorr
Nq_CheckIn,0.17302407682982293,0.006618076123986355,0.16640600070583658,0.17964215295380928,-0.0332663738636074
Nq_Recupero,0.0,0.0,0.0,0.0,0.0
Nq_TraceDetection,0.6766678811692821,0.025915933067824255,0.6507519481014579,0.7025838142371064,-0.07532593959567306
Nq_Varchi,0.04245093249714498,7.062811522998667E-4,0.04174465134484512,0.043157213649444845,0.018258634909128546
Nq_XRay,413.89789650084384,14.646717587170128,399.2511789136737,428.544614088014,0.003940172372963447
Ns_CheckIn,5.19975948102374,0.021657602048262167,5.178101878975478,5.221417083072002,-0.11212709371947742
Ns_Recupero,14.221933793403016,0.013103794924368539,14.208829998478647,14.235037588327385,-0.07565424637306614
Ns_TraceDetection,1.3557435135974347,0.029750430796141605,1.3259930828012931,1.3854939443935763,-0.0936068964945751
Ns_Varchi,1.6976476646773435,0.004014677823840581,1.693632986853503,1.701662342501184,0.013339408251756547
Ns_XRay,419.88842559944123,14.646747812009883,405.24167778743134,434.5351734114511,0.003927556576577501
X_CheckIn,5.026735404193919,0.01726448422368,5.009470919970239,5.0439998884175985,-0.14518325276516936
X_Recupero,14.221933793403016,0.013103794924368539,14.208829998478647,14.235037588327385,-0.07565424637306614
X_TraceDetection,0.6790756324281527,0.004904654320562724,0.67417097810759,0.6839802867487155,-0.14866211891597939
X_Varchi,1.6551967321801984,0.0036085079063207038,1.6515882242738777,1.658805240086519,0.019787669190529975
X_XRay,5.990529098597492,0.0010702202980110522,5.989458878299481,5.991599318895504,-0.19712071010471305
