Metric,Mean,Width,Min,Max,Autocorr
S_CheckIn,102.3285103380077,0.08658234333840087,102.2419279946693,102.41509268134611,0.1564567103278823
S_Recupero,119.88457985585397,0.05601678102999594,119.82856307482398,119.94059663688397,-0.16147269666554734
S_TraceDetection,56.92128970288526,0.09587034183204282,56.82541936105322,57.0171600447173,-0.07753066419688791
S_Varchi,13.039120052342776,0.011339372640445329,13.02778067970233,13.050459424983222,-0.054871650955569666
S_XRay,50.41488801186726,0.038116425609343196,50.37677158625792,50.45300443747661,-0.017624188648212927
SystemResponseTime_Success,3719.653927034565,123.86639937791591,3595.787527656649,3843.520326412481,0.006553880488919662
Tq_CheckIn,3.5189987746917875,0.12887463380806688,3.3901241408837204,3.6478734084998545,-0.02587374511949706
Tq_Recupero,0.0,0.0,0.0,0.0,0.0
Tq_TraceDetection,56.593061614643766,1.8928753659718842,54.70018624867188,58.48593698061565,-0.05488740211622763
Tq_Varchi,0.33435442134801263,0.005288440123993556,0.3290659812240191,0.3396428614720062,0.025627812168598395
Tq_XRay,3483.6159387485727,123.82681349048873,3359.789125258084,3607.4427522390615,0.006588876014240867
Ts_CheckIn,105.84750911269948,0.16506748631128734,105.6824416263882,106.01257659901077,0.1221715521898454
Ts_Recupero,119.88457985585397,0.05601678102999594,119.82856307482398,119.94059663688397,-0.16147269666554734
Ts_TraceDetection,113.51435131752903,1.9193206707777712,111.59503064675127,115.4336719883068,-0.062476046691632946
Ts_Varchi,13.373474473690782,0.01352163038373341,13.359952843307049,13.386996104074516,-0.02588770460039173
Ts_XRay,3534.03082676044,123.83682091605587,3410.1940058443843,3657.867647676496,0.006619135032380901
